Row.names	baseMean	log2FoldChange	lfcSE	stat	log2FoldChange.shrunk	lfcSE.shrunk	pvalue	padj	KO1	KO2	KO3	KO4	WT1	WT2	WT3	WT4
1	0610010K14Rik	442.836817198353	0.240769847656803	0.0893445873553447	2.6948453709815	0.210128530078544	0.0885158205990246	0.00704213030471776	0.0390606743199397	413.319698692708	525.659461704457	486.670324836559	527.305373118319	376.799229615214	380.803666863069	419.46473502592	412.672047730575
2	0610030E20Rik	809.758006443198	-0.030304456129051	0.0716594819119314	-0.422895272481803	-0.0263605695559876	0.0670559339131309	0.672371672176114	0.83818835777322	698.393036975445	844.641325359945	866.624988082451	860.932232413559	748.291427827398	773.476538927065	818.898850682625	866.805651277094
3	0610040J01Rik	68.9459086189518	-0.369656704607324	0.201888205922053	-1.8309970258988	-0.216896980029446	0.188803389233817	0.06710098699093	0.211894375073057	69.6194527939845	58.5114661143202	57.4622793180516	53.7301683509188	78.27871319471	71.215231205561	76.5876622940585	86.1622956800101
4	1110004F10Rik	962.435185919324	-0.182985001953534	0.0716928892079112	-2.55234520431829	-0.164863300545022	0.0699958926764063	0.010700044468185	0.054821162708751	851.555833122211	956.001857642038	886.560880907081	962.144875121104	993.74163021759	905.026896570671	1052.1966527476	1092.25286102629
5	1110038F14Rik	229.189388092952	0.0747173647200858	0.116929412869471	0.638995466465683	0.0524716140984192	0.099847165778323	0.522825881141295	0.740350587504225	301.928574222333	200.071464777998	213.431323181334	181.183125834494	286.579695763684	264.089815720622	187.345204688543	198.88590055461
6	1110059E24Rik	254.829432739781	-0.0454227004117676	0.147042685648024	-0.308908261649246	-0.0277127002902662	0.114595748668323	0.757391312082334	0.88693143878585	294.600210770335	228.383464510734	274.411701233144	188.680358627645	268.005085853075	278.926322221781	243.902247613386	261.726071088151
7	1110059G10Rik	222.892633267406	0.0223659330229291	0.14090748446039	0.158727785884335	0.0142406367385759	0.110689192673042	0.87388334573024	0.947550522164927	260.889738891142	205.733864724545	212.258623603415	217.419751001392	206.974224718216	213.645693616683	216.801997878566	249.417171705292
8	1110065P20Rik	101.170050096633	0.0833855044911291	0.207501921189415	0.401854132304693	0.036487930415794	0.139323907516254	0.687791380724842	0.846634350778976	112.856797160775	73.6111993051125	109.061060746506	112.458491897272	111.447659463655	104.84464594152	106.044455484081	79.0360907741446
9	1500011B03Rik	147.989731565646	0.54998559781035	0.193230217707621	2.84627116987748	0.412852795745153	0.214787581410195	0.0044234508627595	0.0268336489423027	142.170250968768	195.352798155876	187.631932467107	178.684048236776	136.656058628053	131.550357643606	90.7269230252693	121.145483399713
10	1600012H06Rik	441.199949910046	0.00658106504486337	0.0924375723510781	0.0711946979726866	0.00529387416616618	0.0819831443647607	0.943242801115653	0.976928147828107	461.686897475898	431.286129262005	444.45314003146	439.837657198219	411.294933734917	410.476679865386	465.417332402355	465.14682931013
11	1600014C10Rik	427.592046193222	-0.980658825526626	0.175940294780883	-5.57381597403791	-0.921089625378363	0.176696823047219	2.49218996983311e-08	7.31346548584436e-07	235.973303154348	318.038130331063	318.974285194082	336.125936892957	295.867000718989	340.250549093236	800.046503041011	775.460661120091
12	1700010I14Rik	16.0124283955679	0.235860959574281	0.419815704082783	0.561820239882623	0.0376747071047737	0.17174936196162	0.57423850066327	0.779510377104454	15.3895632491966	11.3247998930942	24.6266911363078	18.7430819828786	13.267578507578	15.8256069345691	15.3175324588117	13.6045730021069
13	1700012D01Rik	383.479130609186	0.196136201572428	0.0949230309398204	2.06626568526636	0.164275859764033	0.0913969784712404	0.0388033996400257	0.144236173038751	380.342063158716	452.991995723769	411.617551849716	409.848726025613	325.05567343566	350.141553427342	384.116583197893	353.718898054778
14	1700017B05Rik	1810.29608643843	-0.608717489997905	0.115446393442714	-5.2727285092709	-0.568689059988275	0.11976093660351	1.3441032352393e-07	3.25837048935893e-06	883.067795965804	1624.1650513346	1941.99050103456	1839.32111191982	1371.86761768356	1724.99115586803	2576.88026826317	2520.08518943789
15	1700025G04Rik	878.012182606021	0.0143146492206187	0.111263073436565	0.128655885357867	0.0103841338160721	0.0962899466109722	0.897629943597439	0.957830454043398	698.393036975445	948.451991046642	951.059357692649	1010.87688827659	887.601002156966	809.084154529846	833.038111413836	885.592918756194
16	1700028J19Rik	11.6976592534648	0.302617314420384	0.583290679045938	0.518810475276858	0.0229065084192265	0.177010374561648	0.603892912285897	0.798219202963754	5.8626907615987	16.0434665152168	14.072394935033	16.2440043851615	9.28730495530458	16.8147073679797	9.4261738208072	5.83053128661722
17	1700030J22Rik	40.3970306947205	-0.884839396121677	0.262682288183658	-3.36847757128958	-0.709880114686672	0.293335326393249	0.000755845464860968	0.00610772668013677	16.8552359395963	36.8055996525563	31.6628886038243	38.7357027646159	41.1294933734917	37.5858164696016	65.9832167456504	54.4182920084274
18	1700030K09Rik	80.8819831505544	-0.172616504577934	0.179945240017264	-0.959272412881681	-0.0928153747193523	0.139076877481227	0.337421529180683	0.58808014273078	74.0164708651836	78.3298659272351	80.91627087644	74.9723279315146	75.6251974931944	75.1716329392033	102.509640301278	85.5144588703859
19	1700037C18Rik	42.2178542988608	0.119728814715501	0.270554359982118	0.442531455502748	0.0380053515184372	0.154386497279351	0.658104673306197	0.83012321481141	43.2373443667904	35.8618663281317	51.5987814284545	46.2329355577673	45.1097669257651	36.5967160361911	31.8133366452243	47.2920871025619
20	1700056E22Rik	14.7116787652785	0.727464750518967	0.429396669029892	1.69415555123537	0.137909717931751	0.23278858947664	0.0902357286032072	0.259458068073437	13.9238905587969	17.9309331640659	28.1447898700661	16.2440043851615	7.96054710454678	6.92370303387399	12.9609890036099	13.6045730021069
21	1700066M21Rik	103.92367706971	0.19604687526408	0.179254884533463	1.09367661458331	0.106295515033413	0.142988534407425	0.274096834199651	0.521438629547	124.582178683972	86.8234658470558	113.751859058184	99.9631039086861	114.101175165171	132.539458077016	75.4093905664576	84.2187852511377
22	1700102P08Rik	18.1760208851963	0.462498301765074	0.508660018031767	0.909248388648054	0.0492772906492747	0.180926857529752	0.363219027184736	0.612481368128475	21.9850903559951	16.9871998396413	21.1085924025496	11.2458491897272	33.1689462689449	25.7166112686748	3.5348151828027	11.6610625732344
23	1700109H08Rik	78.441459210211	0.482972435236524	0.279818327551141	1.72602144921424	0.17635313771078	0.228362782251382	0.0843435540022178	0.248286548330446	76.2149799007831	106.641865659971	80.91627087644	92.4658711155346	74.2984396424366	89.0190390069512	67.1614884732513	40.8137190063206
24	1700123O20Rik	294.190411415036	-0.226526990281116	0.121824227504321	-1.85945763762862	-0.173939223249465	0.114415091826371	0.0629622985301803	0.202718683492602	318.050973816729	231.214664484007	267.375503765628	254.90591496715	317.095126331114	320.468540425024	333.450898911055	310.961668619585
25	1810009A15Rik	192.540860025854	0.0549916831182802	0.191924698849898	0.286527390418305	0.0266162098521155	0.132430771980529	0.774474217931847	0.895891879014794	197.865813203956	252.920530945771	158.314443019122	186.181281029928	144.6166057326	179.027178447313	217.980269606167	203.420758221979
26	1810010H24Rik	70.7712198000597	0.251040340255816	0.290673138050296	0.863651667091366	0.0765697952748008	0.167861600810691	0.387779272234797	0.632161475655609	202.262831275155	8.49359991982067	15.2450945129525	14.9944655863029	153.903910687904	144.408663277943	16.4958041864126	10.3653889539862
27	1810024B03Rik	26.7092389730696	0.212082984176838	0.342517875338838	0.619188075854532	0.0448578477141295	0.167192459445875	0.535792466256944	0.750472529503175	21.2522540107953	24.5370664350375	32.8355881817438	38.7357027646159	30.5154305674293	18.7929082348008	22.3871628244171	24.6177987657172
28	1810030O07Rik	874.061176818825	0.00724484330907408	0.0936665606965351	0.0773471690985455	0.00557939273504922	0.0825747415794218	0.93834736775542	0.975503930111053	924.106631296995	896.546658203293	827.92590201111	879.675314396438	786.767405499374	794.247648028687	949.687012446325	933.53284266838
29	1810037I17Rik	633.710623577973	0.039677139833085	0.0949833752213322	0.417727204793771	0.031464012144694	0.0839675466405949	0.676146579477015	0.840110195868361	723.30947271224	586.058394467627	641.466669121923	604.776778647551	622.249432005407	607.30766611409	638.623276359688	645.893299195263
30	1810055G02Rik	290.911042024151	0.0093713523811858	0.133610860371703	0.0701391515264169	0.00619125375724987	0.107183931635665	0.944082905007031	0.977073615834893	373.013699706717	265.18906416329	220.467520648851	269.900380553452	321.075399883387	335.305046926183	298.102747083028	244.234477228299
