baseMean	log2FoldChange	lfcSE	stat	log2FoldChange.shrunk	lfcSE.shrunk	pvalue	padj
Slc7a2	972.235460753151	-3.0067005163086	0.528854416749149	-5.68530851040385	-2.81296859998953	0.529088284803201	1.30576721401282e-08	4.1244233380543e-07
Slc6a4	36.2633891699199	-2.17073670320418	0.662866992284328	-3.27476964228304	-1.65639666930206	0.786256447705821	0.00105748165588745	0.00813018270689491
Fcrlb	31.8798497492708	-2.12488721086538	0.355497428149741	-5.97722245678341	-2.00318770364067	0.360959979986671	2.26974161559671e-09	8.17617035910457e-08
Olr1	846.255268962905	-2.01972762876607	0.214575030150995	-9.4126871488486	-1.97570362649702	0.211719153379757	4.83611949227297e-21	9.12035240719244e-19
Rnase2a	55.9624995624775	-1.97539032148629	0.431027775449257	-4.58297686135738	-1.77990770143128	0.44451591114272	4.58402781872e-06	7.5074723937731e-05
Mtmr7	48.6557644603485	-1.9358729977886	0.395995808676467	-4.88861991812198	-1.76970546749566	0.405013278480739	1.01545334085995e-06	1.97905374516535e-05
Adamdec1	20.7240764777532	-1.93399387106539	0.542383632819383	-3.56573051626251	-1.59401340851609	0.5888737890103	0.000362844069994648	0.00333556441119094
Gpat3	73.599191365925	-1.92767953292381	0.366230867594366	-5.26356378856327	-1.78935005294855	0.36840953201477	1.41289454380592e-07	3.37410793850411e-06
Lhfpl2	2348.45477904577	-1.82280219158242	0.166505753785651	-10.9473825987358	-1.79654684417572	0.163715582851764	6.83954472187918e-28	2.43639781981607e-25
Dppa3	61.8854820906817	-1.79448102020836	0.305233403940885	-5.87904533723938	-1.68620368625742	0.314592316704514	4.12639352004002e-09	1.4224965188439e-07
H2-M2	1241.6637474916	-1.77276099463275	0.279211210034896	-6.34917557361392	-1.68332745283353	0.283790993231062	2.16471864293969e-10	9.34691982392545e-09
Kynu	126.261937272253	-1.76708767744689	0.259598099852503	-6.80701314243403	-1.69307808117912	0.257859512976722	9.96458318419153e-12	5.6293310464349e-10
Inpp5j	50.4510470844433	-1.74824279570282	0.320621424032018	-5.45266992366747	-1.63053814730511	0.324434343763373	4.96191198392384e-08	1.3654841047605e-06
Slc39a2	18.2484344444566	-1.69830435991635	0.555379139677485	-3.05791888565094	-1.24919577832404	0.657897812997163	0.00222879897094298	0.0150968786813647
Mmp8	105.358780922884	-1.66468316981289	0.385602671348707	-4.31709449519734	-1.48135900539459	0.396904496067068	1.580964879452e-05	0.000224770439180625
Zfp385c	15.1301211364026	-1.62018623520666	0.426560606139116	-3.79825565673138	-1.36144625252378	0.467175515937269	0.00014571798171489	0.00153801431893971
Spint1	506.448471366996	-1.60823908333007	0.344627630933308	-4.66659936399963	-1.46012920540598	0.351191372525798	3.06225590796699e-06	5.21571579072474e-05
Htr7	38.316585065803	-1.59789482471675	0.48709396255435	-3.2804652645196	-1.25581959231802	0.545992045590973	0.0010363602534278	0.00799677726814741
Mmp14	3841.76077550658	-1.58931067609981	0.206594560718107	-7.69289699871809	-1.53792183119711	0.20359245294841	1.43840309343032e-14	1.19006975936454e-12
AA467197	569.38965600494	-1.58882042435007	0.107671689630294	-14.7561576288577	-1.5743110489473	0.10813147062574	2.80830973563828e-49	4.50172050622817e-46
Creg2	203.154197253286	-1.56840666128646	0.23192872473347	-6.76245110685992	-1.49921162634755	0.236539651646964	1.35676473392821e-11	7.49963402926527e-10
Kcnj10	596.631037936669	-1.56489236857715	0.147624373697289	-10.6005013222683	-1.53775908765515	0.147794607165039	2.96387137947906e-26	1.00022859395893e-23
Zfp691	363.734122929021	-1.55530429126706	0.158220545597934	-9.82997679213767	-1.52154653382613	0.163794758441542	8.36380470758924e-23	1.91531127803794e-20
Kcnq3	27.0001590466306	-1.53985418372488	0.419745072495256	-3.6685461834511	-1.2482342462246	0.487644721053872	0.000243933634072672	0.00238067345764684
Mcoln3	102.69070122801	-1.52354249560988	0.316347063212186	-4.81604754012837	-1.39187521755375	0.321840391176725	1.46429651448756e-06	2.71753089750918e-05
Derpc	39.158587965335	-1.52098897901866	0.526905884151161	-2.88664261449453	-1.0492244692898	0.664303750936176	0.00389376237300405	0.0241809242960794
Rhov	28.0854414522245	-1.51691109777327	0.362677816019416	-4.18253069465947	-1.3298583544285	0.383103483706446	2.88282081662484e-05	0.000381914195789225
Fbxo32	532.092593628664	-1.5166345020016	0.272888493551338	-5.55770777383941	-1.4228673952874	0.272562723265769	2.73340513105857e-08	7.93058538477266e-07
Fam83f	380.53882887391	-1.50609644455058	0.134087613428817	-11.2321817507038	-1.4819089524044	0.136586777834215	2.83393102290921e-29	1.13569785743087e-26
Tlr12	325.869771014491	-1.5040684910505	0.28301976290033	-5.31435852972638	-1.40011240046983	0.284263343195369	1.07033697638271e-07	2.69666039000625e-06
F7	218.6734852308	-1.50060627193004	0.370401064828506	-4.05130118247585	-1.29695067658751	0.399792236387272	5.09335947771133e-05	0.000623851403459123
Spsb1	371.16613812246	-1.48452506451937	0.226046086774415	-6.56735573573927	-1.41757225449943	0.22428618063187	5.12165910684378e-11	2.53950768272e-09
Ermap	161.260216313748	-1.45714493695211	0.185538813831578	-7.85358549437978	-1.40845609414769	0.191794449645062	4.0430897738505e-15	3.60059605971241e-13
Syngr1	129.293553589731	-1.43260838837039	0.320600349003694	-4.46851786912398	-1.28861397181658	0.327774681927545	7.87634339808549e-06	0.000120102530008381
Acp5	2751.82147825123	-1.42809932536141	0.254896897786367	-5.60265479008817	-1.33985296502804	0.255813539643293	2.11093378328588e-08	6.31016662863827e-07
Cd300lf	894.38296221109	-1.42706725966675	0.218175272710798	-6.54092116826821	-1.35883482825624	0.216727788409153	6.11410554910946e-11	2.99264463976258e-09
Arg1	47.2050798843021	-1.42059820881018	0.336097497101858	-4.22674438536403	-1.24886141481214	0.356034001440638	2.37096744084674e-05	0.000322773741628647
Klrb1b	973.518913493675	-1.39493406917002	0.175900589681795	-7.93024100540799	-1.35331894795792	0.176786342652603	2.18721003093031e-15	1.98927527919506e-13
Adgrg5	215.970704594977	-1.37329139931364	0.316582138639871	-4.33786759168947	-1.22472777424259	0.326452056746218	1.43871781444861e-05	0.000206377150475268
Stra6l	210.550543125236	-1.36410589248605	0.339299593661373	-4.02035816714667	-1.19024008123176	0.353127354054438	5.81097262289542e-05	0.000699061096773085
Slc7a11	1192.6487477178	-1.3220028561393	0.198372160807485	-6.66425596594811	-1.26475076125846	0.199050563948426	2.66009501565508e-11	1.40382956710949e-09
Tent5c	3495.2131541928	-1.31901040711097	0.0747837722684165	-17.6376554311372	-1.31081420242435	0.0752788553770424	1.26606071043555e-69	4.05899063765639e-66
Gpr157	421.796449025618	-1.30263019783889	0.131083229966105	-9.93742829022234	-1.27999538212817	0.130886885927169	2.86118273267849e-23	6.92298252148471e-21
Lrp8	88.6682723806522	-1.28466749694764	0.306878410190772	-4.18624267555681	-1.13526301397504	0.317382617619912	2.83610123918698e-05	0.000376861393364498
Dusp9	21.2722355010539	-1.26190045347112	0.366243912584457	-3.44551925673337	-1.01451103836015	0.40958334552767	0.000569963355444686	0.00483482117871771
Sirpb1c	1365.01980470961	-1.26063881151997	0.211519532851658	-5.95991677233933	-1.19702487066317	0.211117692345609	2.52366431912536e-09	8.9649504787988e-08
Cd22	602.065404896354	-1.25268018383058	0.305472994159012	-4.10078863854821	-1.10214431183949	0.315438728964095	4.11744508441276e-05	0.000520486730059653
Lpcat2	3521.86632002792	-1.24488969801053	0.078830080999353	-15.7920641743442	-1.2358494554452	0.0791497763333107	3.52842110920334e-56	7.54141205073728e-53
Pmepa1	2081.03384611445	-1.23825111784499	0.0591842789337722	-20.9219600230426	-1.23279694233776	0.0590628895180829	3.3793592484105e-97	2.16684515008081e-93
Lyz2	175633.384332639	-1.23281590741549	0.058401728952033	-21.1092364821602	-1.22747353806837	0.0583786056258677	6.54209871787934e-99	8.38958739580847e-95
Tgfbr1	9424.87138092092	-1.20537864647217	0.0877463417321275	-13.7370814859947	-1.19290912753962	0.0884303478938625	6.08808840433068e-43	6.0056650536259e-40
Hebp1	473.273574744108	-1.20349478590874	0.109393743864977	-11.0014955461638	-1.1844055622283	0.109330417512446	3.75846178351525e-28	1.41760335034705e-25
Slamf6	554.306008982017	-1.20176705226398	0.127777715902277	-9.40513800687338	-1.17586796979475	0.127287580075362	5.19619703085961e-21	9.6573957570643e-19
Gpr171	222.571907589632	-1.19510814769	0.297689767480456	-4.01460942982683	-1.04549977113565	0.308550763273756	5.95443131857852e-05	0.000712975044159206
Pkib	490.470555170634	-1.1905895591162	0.131974230289883	-9.02137907151312	-1.16081259422307	0.135926064357165	1.85736192773871e-19	2.86973606762906e-17
Itgax	10956.3478174397	-1.16856320975652	0.146592291264865	-7.9715188273109	-1.13278300130376	0.147313471715267	1.56736009718764e-15	1.45650912219814e-13
Il1rl2	592.694361348036	-1.15431624693677	0.0913033079962529	-12.6426552582755	-1.14057957795133	0.0911714833570669	1.22834550996732e-36	8.29068569464258e-34
Tmem119	1150.50691310377	-1.15022050863029	0.110189469994592	-10.4385701164252	-1.13033149393647	0.109631681163634	1.65281445277323e-25	5.16968110789362e-23
Havcr2	2540.58547364819	-1.1462105195446	0.125671440765753	-9.1206921203449	-1.11934034672666	0.126896783693944	7.46460740265935e-20	1.22725801707312e-17
Trem2	2632.54139272082	-1.13944472313914	0.131361366768103	-8.67412353550376	-1.11158640931077	0.136802117178736	4.16747719053317e-18	5.68550292461674e-16
B3gnt7	120.638994337376	-1.13696127629315	0.233297442641643	-4.87344080337643	-1.04260184861065	0.237727767578057	1.09671140563182e-06	2.12130121656448e-05
Bhlhe41	106.252278535943	-1.13349672917669	0.222157390871447	-5.10222380957198	-1.04755392533808	0.226180556779331	3.35685431481161e-07	7.33361153886612e-06
Sgms2	321.504168126234	-1.12799092741952	0.237016711236722	-4.75911981705348	-1.03172770446071	0.240503025005062	1.94438993021757e-06	3.48252185266901e-05
Tgfb3	814.621184280507	-1.12021314266219	0.199609210084592	-5.61203133957326	-1.05271805145856	0.201775414496802	1.99965210585666e-08	5.99148098259482e-07
Cebpa	4589.78531911037	-1.11154453303955	0.133429576279521	-8.33057080771195	-1.08058287064229	0.134303144322581	8.04534981209571e-17	9.64238934488929e-15
Cd200r4	479.866449540203	-1.10472207492812	0.217868449622942	-5.07059226262464	-1.01576183691642	0.22786219552102	3.96579600037873e-07	8.50457657338742e-06
Gdf3	78.395658605389	-1.10459755887058	0.216952891840715	-5.09141661813648	-1.01976502431655	0.222405140991567	3.55398157034941e-07	7.69869250982448e-06
Usp2	349.185909848446	-1.09774130981745	0.104571060937331	-10.4975630922911	-1.07859705731942	0.105526510676415	8.86388521171171e-26	2.9146272808972e-23
Dmxl2	1843.10278991009	-1.0971239754315	0.148921904895969	-7.36710946719294	-1.05798932019521	0.148889814828202	1.74367304268517e-13	1.24921022901646e-11
Runx3	3387.69554338045	-1.09267800184037	0.125855652601317	-8.68199384974575	-1.06435902860593	0.127799060664335	3.88890457822731e-18	5.36250670012763e-16
Cd9	6582.37273503751	-1.07742360585352	0.154546073801458	-6.97153657386125	-1.04748285037228	0.153246756567413	3.13497792439866e-12	1.90535340770088e-10
Il7r	1167.8488730075	-1.07354528776182	0.173332791778856	-6.19354985715275	-1.01874073901203	0.176021340774587	5.88240698096482e-10	2.35737459762165e-08
Card11	603.226179941494	-1.06709931797285	0.163185117586556	-6.5391950795197	-1.01825169807815	0.164298142239512	6.18508055135006e-11	3.01587349773814e-09
Ctss	57550.5544957853	-1.06650872926911	0.119292021958424	-8.94031898998924	-1.04105781127171	0.119454227057735	3.88048588218054e-19	5.92420844679563e-17
Hvcn1	2841.65210209548	-1.05985556173771	0.0896973666296085	-11.8159049876483	-1.04529579185627	0.0901159592293574	3.2305138071988e-32	1.5343744097599e-29
Cd300c2	3110.4586455024	-1.05926409734398	0.0623955733966437	-16.9765904803907	-1.05229699117626	0.0625641774891394	1.22392989030386e-64	3.13913538265135e-61
Mycl	143.623905379944	-1.04773559097632	0.14879484814643	-7.04147760509313	-1.00475912350372	0.151594465214308	1.90211791374624e-12	1.20161379930452e-10
Kcna3	1176.01051457485	-1.04548793945337	0.0814873235942765	-12.8300684491594	-1.03328408853159	0.0823398930353821	1.11265832506166e-37	8.39337080034745e-35
Axl	16753.5472921806	-1.03390127731819	0.0749142172438266	-13.8011356903471	-1.02893228491355	0.0753809352433768	2.50868984969247e-43	2.68095321937136e-40
Cd38	1202.08361234135	1.03520776808921	0.100995481831849	10.250040391042	1.0177906604989	0.102543665165865	1.18294095328956e-24	3.1604239135386e-22
C4b	4338.09841006837	1.04392359559175	0.132267955216382	7.89249061788208	1.00754561245137	0.137284262814056	2.96214605144861e-15	2.67510992702654e-13
Tnk2	395.202337593528	1.0609344595326	0.162522171449566	6.52793677361017	1.00992295000712	0.17130182135869	6.66818318406808e-11	3.22689740198072e-09
Ppp1r9a	368.267699363542	1.09206390255631	0.205381236550321	5.31725254409371	1.00701058662607	0.222032035352117	1.05345807927037e-07	2.65935952924473e-06
Reps2	1642.42652682435	1.09214704170727	0.204508774995586	5.34034317955714	1.00469047605303	0.22564441390465	9.27707973542989e-08	2.37889819171546e-06
Pgap6	581.97031922027	1.10206410398839	0.149061086118715	7.39337229242163	1.05172796879183	0.156747586549584	1.43150935998051e-13	1.04304977456761e-11
Cgnl1	801.433066918803	1.10888722520198	0.178492508889128	6.21251408310235	1.04888196523079	0.187662793239483	5.21435054346098e-10	2.16403985014057e-08
Oas2	1778.38210498665	1.11075227201385	0.110248368709217	10.0749996124069	1.08831797839449	0.112098344237201	7.12610749718649e-24	1.82770405087839e-21
Cd1d1	464.649072858613	1.11164537787126	0.122833196063889	9.05004032699002	1.08464063460661	0.12614891387105	1.42915549853734e-19	2.23505976990766e-17
Serpinb6a	2104.98310977443	1.11333472581447	0.21680285541516	5.13524014101439	1.01290511088523	0.244296093515891	2.81783983594394e-07	6.26273449846535e-06
Kitl	2346.97038649627	1.11983844123299	0.137668814424863	8.13429276565884	1.07989065538721	0.144109777441596	4.14350110419684e-16	4.46523177816977e-14
Smagp	621.658150861921	1.13206755429251	0.191543211300407	5.91024629172071	1.06306450105455	0.207317438352417	3.41596598861164e-09	1.20017391336865e-07
Aplnr	373.410833016805	1.13773011888928	0.169046570552399	6.73027624974276	1.08773459633087	0.174984373667108	1.69341269481265e-11	9.12450604969642e-10
Kmo	346.417391627325	1.15223997299863	0.199204549737869	5.78420510231745	1.0724750046814	0.214910703732947	7.28560080439902e-09	2.43461879105524e-07
Mill2	299.427718099863	1.16444082763125	0.207090849501559	5.62285021493664	1.08241089320167	0.224249566232809	1.8783225688082e-08	5.64112614107642e-07
Sox7	622.295163701296	1.16917450647413	0.173257568032808	6.74818722061674	1.11348664835497	0.180863912584245	1.49703701883163e-11	8.20427467072516e-10
Rem1	50.0419981391985	1.18334534733037	0.283398567923512	4.17555161270169	1.03193978881474	0.310465229436761	2.97264843008323e-05	0.000391790785892984
Rab4a	51.4416364106842	1.18453738567223	0.291446849490322	4.06433415816207	1.02348186279419	0.317454741534606	4.81697741822773e-05	0.00059626369122927
Tppp	491.112073018915	1.19478726561941	0.206631790829956	5.78220447502505	1.1149112835134	0.225955014982891	7.3728014608498e-09	2.45581314114124e-07
Ifitm3	5964.18666883955	1.2169579950482	0.0966788125894127	12.5876390333477	1.2003979188279	0.0989283636926403	2.4694955328792e-36	1.58344053568214e-33
Fam20a	69.9174067528863	1.22712994923496	0.348531651590744	3.52085655243701	1.0050895888188	0.388988471543281	0.000430155250431583	0.00380960699691617
Cd226	354.482998114694	1.23562992691019	0.251712246241228	4.90889873401719	1.11076438695544	0.285883743448662	9.15892537493336e-07	1.81536412686469e-05
Lpar1	235.77830784387	1.23730755226358	0.191092527788318	6.47491331337769	1.17361396773489	0.203271308712036	9.48663890263273e-11	4.45628781272389e-09
Fah	62.1121940195118	1.2772884120727	0.263752683692827	4.84275039096953	1.15558937734369	0.28385665887785	1.2805411259596e-06	2.41140372970719e-05
Icos	54.5374163076774	1.27892529972662	0.323026121787813	3.9592008616774	1.07697171060069	0.37087234636858	7.52009712063472e-05	0.000866466536163699
Mgl2	16794.7400634241	1.2804205374925	0.146160622255429	8.76036594353607	1.24490683371781	0.154293405967882	1.94617525985967e-18	2.80424174521803e-16
Lmo1	65.4159193246941	1.28355384070099	0.292590205495948	4.38686537208357	1.12447890495275	0.325247075347849	1.14995917263367e-05	0.000168865331588426
Hrh1	188.326398248287	1.28854079677262	0.298612647236557	4.3150911680973	1.11296978724873	0.347104686302387	1.59537048986812e-05	0.000226316716394566
Chp2	1204.77328849576	1.29237011380881	0.267983955831016	4.82256525321146	1.14730871335963	0.314636758351007	1.41723643686341e-06	2.64936444115691e-05
Il1rl1	905.698737017733	1.29243175219478	0.270233734563119	4.78264401106036	1.14802827075674	0.314576957346734	1.73004356962765e-06	3.16491850740442e-05
Kcnk5	85.359386067582	1.29591776205194	0.25325419928683	5.11706327358548	1.18997974419506	0.267041754125906	3.10329539438402e-07	6.83791411298637e-06
Pf4	6428.85259104189	1.30658143356696	0.230158307269203	5.67688148678783	1.20738872000598	0.259979071873653	1.37172436986823e-08	4.29048617541224e-07
Sphk1	592.040453020934	1.30986345665967	0.317693919557136	4.12303596645984	1.06838188409976	0.402317619284317	3.73911287909973e-05	0.000477593461768675
Slc35g2	50.8759157610517	1.31911978916523	0.287222676896866	4.59267284678531	1.18530207389799	0.30296705981598	4.37604796532632e-06	7.1946716804288e-05
Nr3c2	82.3617247140335	1.33529343550254	0.360889210686561	3.70000929914822	1.08999493334124	0.417852974048551	0.000215591566901296	0.00214487684557193
Ryr1	90.0277610938741	1.34037918651906	0.241410898409037	5.55227288971838	1.24497934070325	0.258120995777167	2.81978939638617e-08	8.14436468902168e-07
Scgb1a1	300.253145786971	1.34426987204724	0.284454864237698	4.72577565389752	1.21174442634222	0.305893249286865	2.29238629005046e-06	4.05483610808374e-05
Sdk1	72.9447932262623	1.3457678214396	0.313973520238105	4.28624624273734	1.16383684821803	0.359485356403884	1.81717556962308e-05	0.000254127148362556
Slamf1	28.9419337294528	1.34830230240249	0.377490987493112	3.57174700078658	1.07188781041868	0.450296812290491	0.000354607890471515	0.00327865291089164
Flrt2	50.1587530262966	1.35855617659911	0.329911724611468	4.11793845216948	1.17535931685807	0.36328873231171	3.82276752936145e-05	0.000487307860800509
