baseMean	log2FoldChange	lfcSE	stat	log2FoldChange.shrunk	lfcSE.shrunk	pvalue	padj
Cyp1a1	149.656908542867	-3.63947210834641	2.0318078717674	-1.79124815831162	-0.0110592142403903	0.182176197023536	0.0732534812313592	0.225980910106074
Slc7a2	972.235460753151	-3.0067005163086	0.528854416749149	-5.68530851040385	-2.81296859998953	0.529088284803201	1.30576721401282e-08	4.1244233380543e-07
Chil3	2332.87621741645	-2.89145334994912	0.863075944328715	-3.35017256470754	-0.11049629988345	0.233993939651671	0.000807612298313531	0.00646540912276369
Plet1	199.509252250824	-2.61831891255493	0.845848558542863	-3.0954937336129	-0.111291279592704	0.234176915080033	0.00196485524660254	0.0135834521199089
Slc6a4	36.2633891699199	-2.17073670320418	0.662866992284328	-3.27476964228304	-1.65639666930206	0.786256447705821	0.00105748165588745	0.00813018270689491
Fcrlb	31.8798497492708	-2.12488721086538	0.355497428149741	-5.97722245678341	-2.00318770364067	0.360959979986671	2.26974161559671e-09	8.17617035910457e-08
Slc26a4	21.7585917711793	-2.04704742566532	1.06934279631459	-1.91430421817991	-0.0530702493463017	0.191249691664203	0.0555812957819998	0.186054434118602
Olr1	846.255268962905	-2.01972762876607	0.214575030150995	-9.4126871488486	-1.97570362649702	0.211719153379757	4.83611949227297e-21	9.12035240719244e-19
Rnase2a	55.9624995624775	-1.97539032148629	0.431027775449257	-4.58297686135738	-1.77990770143128	0.44451591114272	4.58402781872e-06	7.5074723937731e-05
Mtmr7	48.6557644603485	-1.9358729977886	0.395995808676467	-4.88861991812198	-1.76970546749566	0.405013278480739	1.01545334085995e-06	1.97905374516535e-05
Adamdec1	20.7240764777532	-1.93399387106539	0.542383632819383	-3.56573051626251	-1.59401340851609	0.5888737890103	0.000362844069994648	0.00333556441119094
Gpat3	73.599191365925	-1.92767953292381	0.366230867594366	-5.26356378856327	-1.78935005294855	0.36840953201477	1.41289454380592e-07	3.37410793850411e-06
Lhfpl2	2348.45477904577	-1.82280219158242	0.166505753785651	-10.9473825987358	-1.79654684417572	0.163715582851764	6.83954472187918e-28	2.43639781981607e-25
Dppa3	61.8854820906817	-1.79448102020836	0.305233403940885	-5.87904533723938	-1.68620368625742	0.314592316704514	4.12639352004002e-09	1.4224965188439e-07
H2-M2	1241.6637474916	-1.77276099463275	0.279211210034896	-6.34917557361392	-1.68332745283353	0.283790993231062	2.16471864293969e-10	9.34691982392545e-09
Kynu	126.261937272253	-1.76708767744689	0.259598099852503	-6.80701314243403	-1.69307808117912	0.257859512976722	9.96458318419153e-12	5.6293310464349e-10
Inpp5j	50.4510470844433	-1.74824279570282	0.320621424032018	-5.45266992366747	-1.63053814730511	0.324434343763373	4.96191198392384e-08	1.3654841047605e-06
Slc39a2	18.2484344444566	-1.69830435991635	0.555379139677485	-3.05791888565094	-1.24919577832404	0.657897812997163	0.00222879897094298	0.0150968786813647
Aoc3	22.3188228451195	-1.67681182590234	0.919003001477068	-1.82459885681253	-0.05776149932954	0.192583335638291	0.0680615860704898	0.214294569056705
Mmp8	105.358780922884	-1.66468316981289	0.385602671348707	-4.31709449519734	-1.48135900539459	0.396904496067068	1.580964879452e-05	0.000224770439180625
Zfp385c	15.1301211364026	-1.62018623520666	0.426560606139116	-3.79825565673138	-1.36144625252378	0.467175515937269	0.00014571798171489	0.00153801431893971
Spint1	506.448471366996	-1.60823908333007	0.344627630933308	-4.66659936399963	-1.46012920540598	0.351191372525798	3.06225590796699e-06	5.21571579072474e-05
Htr7	38.316585065803	-1.59789482471675	0.48709396255435	-3.2804652645196	-1.25581959231802	0.545992045590973	0.0010363602534278	0.00799677726814741
