,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Ifitm3,2.38300499207237e-57,1.82316044102573,0.858,0.636,3.4277143805969e-53
Trem2,3.10624306308401e-56,-1.81506288704422,0.356,0.758,4.46802002194004e-52
Lyz2,2.7764672446346e-53,-1.22473033855352,0.947,0.919,3.99367048468241e-49
Pmepa1,1.10516442065652e-52,-2.02878848048307,0.198,0.638,1.58966850267234e-48
Skil,7.80333918218064e-44,-1.04044698638328,0.679,0.931,1.12243230796486e-39
Cpd,2.8569387923253e-41,-1.69773992545443,0.267,0.655,4.10942075888071e-37
Cfp,3.3149382253716e-41,1.51615468413373,0.789,0.509,4.76820714337452e-37
B4galt1,6.9182177122276e-40,-1.50136786036942,0.389,0.723,9.95116435726818e-36
Clec10a,8.70657379104207e-40,1.97203594001099,0.625,0.277,1.25235357410349e-35
H2-K1,1.52210067006351e-39,0.872058761909286,0.979,0.938,2.18938960381935e-35
Clec4b1,3.89819835279551e-38,2.4848650799593,0.502,0.17,5.60716851066106e-34
Clec4d,1.67177447915098e-37,-1.38567616759216,0.454,0.761,2.40468041081076e-33
Tgfbr1,2.35426032966391e-37,-1.36451485793245,0.356,0.716,3.38636805818857e-33
H2-D1,2.87971256727392e-36,0.737764611400923,0.972,0.926,4.1421785567668e-32
Mgl2,1.25485013063469e-35,1.72984496096799,0.747,0.532,1.80497642790493e-31
Cd9,2.1954217709072e-35,-1.91300721444959,0.286,0.611,3.15789467527292e-31
H2-Ab1,2.31107603164136e-35,1.00982584433023,0.979,0.905,3.32425176391294e-31
Dock4,3.23511648357087e-35,-1.16617427963819,0.325,0.682,4.65339154996833e-31
Fcgr4,4.67850373234891e-35,3.3414337980989,0.361,0.067,6.72955976861067e-31
H2-Eb1,1.84168315197271e-34,0.970701736870081,0.967,0.913,2.64907704579755e-30
Cd74,2.1866409976189e-34,0.84643024627086,0.995,0.951,3.14526441097502e-30
Atp2b4,1.25444574585389e-33,-2.38202263549742,0.072,0.369,1.80439476083624e-29
Aopep,1.44918682362119e-32,-1.33577458622436,0.467,0.754,2.08451032709672e-28
Emp1,8.11225697450271e-32,-1.08621433171016,0.44,0.772,1.16686704321247e-27
Rnf180,3.30112352083405e-31,-1.64180293788791,0.288,0.618,4.7483360723677e-27
Hexb,2.29927641344744e-30,-1.0926043006246,0.512,0.749,3.3072791931028e-26
H2-Aa,4.70011239864134e-30,0.839698067643127,0.977,0.913,6.7606416742057e-26
Mthfs,3.07824988124656e-29,-1.81550139938487,0.407,0.673,4.42775462918505e-25
Lyz1,3.17057712885442e-29,2.89917725765039,0.502,0.233,4.56055814214419e-25
Ramp1,5.39461034363504e-29,-2.19267358023081,0.119,0.401,7.75960751828465e-25
Cx3cr1,5.91167668362575e-29,-1.24389257681189,0.289,0.611,8.50335574172728e-25
Tlr2,9.84601097273574e-29,-1.25505407625906,0.539,0.754,1.41625021831831e-24
Fn1,1.15775832474982e-28,-3.51897477955705,0.086,0.343,1.66531957432014e-24
Pdpn,1.85681302876001e-28,-2.00632482157099,0.137,0.428,2.6708398605684e-24
Apbb2,2.91101842655396e-28,-2.03692653782241,0.093,0.367,4.18720890475521e-24
Hdac9,3.13174641795352e-28,1.53952318173941,0.718,0.426,4.50470404758434e-24
Ccl8,3.90218410220757e-28,2.59843604854341,0.721,0.463,5.61290161261537e-24
Il1a,5.75302123259978e-28,-1.5720237367506,0.421,0.686,8.27514574097152e-24
F11r,7.68413242863207e-28,-2.30475626109014,0.077,0.339,1.10528560853444e-23
Anxa3,1.57094309968435e-27,-1.24653542125794,0.432,0.682,2.25964455458598e-23
Plaur,5.48834455973994e-27,-0.886899783659116,0.446,0.761,7.89443481472994e-23
H2-T23,6.58105018198811e-27,1.38361864116986,0.726,0.558,9.4661825817717e-23
mt-Nd4,6.94788135001565e-27,-0.488502992398455,0.993,0.988,9.99383253386252e-23
Nedd9,9.24943470074842e-27,-1.46259972523781,0.239,0.53,1.33043868735565e-22
C4b,1.97025831561916e-26,2.37280301630048,0.349,0.095,2.8340195611866e-22
Dnase1l3,2.03842919532432e-26,3.31866926465331,0.286,0.051,2.9320765545545e-22
Cd300c2,4.75621866921733e-26,-0.936788693372725,0.44,0.744,6.84134493380221e-22
Sh3bp5,1.50039588046459e-25,-1.37582755302845,0.235,0.521,2.15816943446026e-21
Ecm1,1.58121717351849e-25,-1.68014741746087,0.325,0.564,2.274422782389e-21
Xylt1,1.70071418356067e-25,-1.34510184999285,0.219,0.521,2.44630728163367e-21
Txnrd1,1.74346078936009e-25,-0.829023801784934,0.818,0.922,2.50779399941555e-21
Itgav,2.50582715255071e-25,-1.3750111836625,0.393,0.675,3.60438177622894e-21
Itga5,4.30778802018331e-25,-1.19068493887368,0.496,0.749,6.19632228823168e-21
mt-Cytb,6.27277239660876e-25,-0.478392042334294,0.993,0.991,9.02275581528204e-21
Ifitm2,8.67687886325343e-25,0.854028226045136,0.868,0.807,1.24808225569037e-20
Ctsb,1.1509713568092e-24,0.481420065495473,0.979,0.965,1.65555719963436e-20
Col14a1,1.71097207868362e-24,-2.01003308150445,0.095,0.352,2.46106223797851e-20
Tppp3,5.56964910746583e-24,-1.83062358282213,0.226,0.482,8.01138327617886e-20
Epsti1,5.80862630600533e-24,1.14079380476216,0.777,0.601,8.35512807855806e-20
Itgb5,1.35043827383393e-23,-1.17495828718462,0.34,0.611,1.94247041308273e-19
B2m,1.47542096159858e-23,0.550095632715062,0.96,0.906,2.12224551116339e-19
Ifi27l2a,2.93166899528293e-23,1.25322362165051,0.782,0.599,4.21691268281497e-19
Cxcl12,2.94480299966884e-23,2.67983743675912,0.247,0.041,4.23580463472366e-19
AA467197,3.86551998071853e-23,-1.58808280324521,0.135,0.394,5.56016394026553e-19
Btg2,3.95086420178049e-23,0.818745793749247,0.93,0.841,5.68292306784105e-19
Lst1,4.10660006243471e-23,1.05308335227346,0.746,0.534,5.90693352980609e-19
Epb41l2,8.84850735116161e-23,-0.897610602646111,0.779,0.905,1.27276929739109e-18
Cflar,1.00454950905615e-22,-0.743995209674899,0.856,0.943,1.44494401382637e-18
Sdc3,1.06504765357954e-22,1.23922064379789,0.674,0.458,1.53196454490881e-18
Cd44,1.51204016034095e-22,-0.782706916104093,0.786,0.922,2.17491856663442e-18
S100a4,4.15599133147884e-22,-1.76321819951648,0.247,0.493,5.97797793119916e-18
Olfml3,5.21893536685609e-22,-2.10687965710741,0.061,0.277,7.5069166316858e-18
Phldb1,5.53534379693905e-22,-1.82406970267134,0.204,0.451,7.96203851751713e-18
Gm21188,5.96257189279317e-22,0.962715224629931,0.682,0.417,8.5765634105937e-18
Stat1,8.4597558122902e-22,2.23750326468369,0.425,0.189,1.21685127603982e-17
Wwp1,8.6208471355025e-22,1.00724501949636,0.742,0.534,1.24002265197068e-17
Arhgap24,8.84238064279108e-22,-1.97379154738177,0.116,0.35,1.27188803165907e-17
