,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Steap4,0.253652492730828,3.32752629323319,0.01,0.006,1
Ebi3,0.253658540122718,0.0920157996686242,0.299,0.269,1
Cep68,0.253691806332165,0.106022403071011,0.122,0.105,1
Polr2f,0.253770391867555,0.0577280496227178,0.396,0.36,1
Mras,0.253836967639408,-0.0689955783816858,0.126,0.107,1
Polr2j,0.253970296774463,0.0587321821628196,0.386,0.342,1
Crk,0.254035117379711,0.112570358731283,0.425,0.387,1
Ier5,0.254072274043408,-0.0497934086718339,0.934,0.925,1
Hnrnpdl,0.254182460497064,-0.278906083765864,0.333,0.336,1
Cmtm8,0.254244998039752,0.405433345575979,0.011,0.007,1
Nudt2,0.254416880926258,0.0914876778153135,0.144,0.127,1
Flad1,0.254461989497962,0.189740777165208,0.065,0.052,1
Mettl14,0.254519435218491,0.0492545579590589,0.031,0.023,1
Ubl3,0.254607520906145,0.131445179322856,0.699,0.686,1
Ednrb,0.254746119978824,2.16834004855569,0.007,0.003,1
Pou5f2,0.254847916556008,0.496371927383555,0.029,0.021,1
Rnf38,0.254869878613422,-0.187132195945083,0.157,0.174,1
Eefsec,0.254944093778385,0.300028851122555,0.093,0.078,1
Plcd1,0.254999781922163,1.42225276770356,0.011,0.007,1
Epas1,0.255062003105668,-0.590847801774563,0.022,0.03,1
Aco2,0.255210925079339,0.0571554208579902,0.353,0.318,1
Cage1,0.255377757588088,0.494754899652671,0.011,0.007,1
Rpl28,0.25541900817944,-0.0325578289744151,0.984,0.991,1
Mxra8,0.255505211466209,1.34049253076154,0.007,0.003,1
Dhrs9,0.25575859097317,1.2047533693338,0.007,0.003,1
Arl4d,0.255797401571304,-0.310245699476496,0.011,0.017,1
Zfp36,0.255824025015956,-0.0345496199678426,0.979,0.983,1
Acp1,0.255852438337468,0.051046504418605,0.27,0.24,1
Med6,0.255940603401388,0.429358624015537,0.122,0.105,1
Il1rap,0.255948879178498,0.11623274027724,0.115,0.098,1
Ptger4,0.256161757558717,-0.0775885021017284,0.42,0.455,1
Serping1,0.256324400014492,0.870206819575532,0.011,0.007,1
Rwdd2b,0.256514020577817,0.517733363217677,0.011,0.007,1
Rbpms2,0.256519776908224,0.965383603487419,0.007,0.003,1
Cul3,0.256576804527305,-0.0846890541822477,0.439,0.441,1
Mbtps1,0.256689009671819,0.132300013399558,0.151,0.129,1
Prr14l,0.256708702860144,0.0490883843411734,0.087,0.072,1
Cep170b,0.256773854781205,1.01299402413543,0.007,0.003,1
Tigar,0.256858759936671,1.1136912091049,0.01,0.006,1
Klf13,0.256989442149566,0.0434574671306197,0.454,0.417,1
Vmn2r90,0.257158385840429,1.74138820740141,0.008,0.004,1
Mov10,0.257289176254315,0.393198213443998,0.046,0.036,1
Pde7a,0.257483826133586,0.171830193277899,0.109,0.093,1
Serpinb6b,0.25753713645857,-0.254016037799218,0.007,0.003,1
Rfc5,0.25754405691159,0.237754864746585,0.073,0.06,1
Etnk2,0.257590445201208,1.25300277847388,0.009,0.005,1
Bcl2a1a,0.257645721691072,-0.0162544544991094,0.682,0.703,1
B3gnt5,0.257653789442621,0.358710880312448,0.011,0.007,1
Tmem260,0.257704418740099,-0.0574339140271927,0.057,0.069,1
Lrp1b,0.257791913125607,1.40664221270779,0.007,0.003,1
Tm4sf1,0.257791913125607,0.939511729752063,0.007,0.003,1
Vcan,0.257791913125607,0.618353424121363,0.007,0.003,1
Tceanc,0.257805994245246,1.14970932565337,0.009,0.005,1
Helz2,0.257830494597792,1.09605215785282,0.021,0.015,1
F10,0.258068332711026,2.0175332667228,0.01,0.006,1
Ganc,0.258076210689328,-0.487338557576931,0.052,0.064,1
Rbm45,0.258109969875986,0.501540926311423,0.029,0.021,1
Rapgef1,0.258198524701754,-0.232221820778918,0.189,0.206,1
Trim30b,0.258222968527175,0.398749518592523,0.029,0.021,1
Sil1,0.258263585145221,0.117564634204961,0.188,0.165,1
Samd1,0.258327026644277,-0.414664054894845,0.183,0.196,1
Ciz1,0.258368907159126,0.184783286288322,0.119,0.103,1
Gnas,0.258443782766887,-0.0758163567609433,0.874,0.869,1
Kif5a,0.258472399947153,0.491800019227719,0.01,0.006,1
Zscan2,0.258557291818832,0.510825687353005,0.007,0.003,1
Ptpn21,0.258569271208561,-1.2273923264173,0.007,0.011,1
Ltn1,0.258583928080565,0.0549812040776292,0.089,0.075,1
Tbl1xr1,0.258670201527065,0.00416273671272427,0.326,0.291,1
Gm20422,0.258674597932004,0.720482799224198,0.01,0.006,1
Exog,0.258674597932004,0.484688957634756,0.01,0.006,1
Emp2,0.258674597932004,0.580403926840638,0.01,0.006,1
Cep97,0.258674597932004,0.653288480968415,0.01,0.006,1
Serpinb12,0.258812767700915,0.629241651524978,0.007,0.003,1
Cpxm1,0.258812767700915,0.458581086699867,0.007,0.003,1
Chrm3,0.258812767700915,0.249297100802841,0.007,0.003,1
Ccl11,0.258885615823025,1.38875230084203,0.009,0.005,1
Zfp963,0.259068418451712,0.423212576713142,0.007,0.003,1
Ap5b1,0.259101915520353,1.14854396447358,0.009,0.005,1
Macrod2,0.259170166090747,-0.272880933607149,0.106,0.12,1
Gtf2a1,0.259266603845616,0.230516457056856,0.281,0.262,1
Ggps1,0.259303054406528,-0.30270413939624,0.069,0.082,1
Stk32c,0.259318340381426,0.889493176811579,0.009,0.005,1
Inca1,0.259534890421767,0.932941421550836,0.009,0.005,1
Snx4,0.259573660496223,0.121837239642687,0.22,0.194,1
