,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Psmb9,2.05190370210082e-10,1.49828827974095,0.966,0.804,2.95145828510182e-06
Ifitm3,5.38338281738003e-10,2.38310689206654,0.899,0.652,7.74345784451943e-06
H2-D1,1.99189822396469e-08,0.627529975929964,1,1,0.000286514640535081
Emp1,2.17182884192712e-08,-1.47537620182983,0.462,0.913,0.000312395860622796
Fcgr4,4.6060428463482e-08,3.60012631351449,0.597,0.152,0.000662533203018725
Trem2,6.12535268200515e-08,-1.50666035416202,0.521,0.848,0.000881070729779621
H2-T23,1.02395541923741e-07,1.57558234146929,0.857,0.587,0.00147285747503109
B2m,1.02641643894999e-07,0.600676925634623,1,1,0.00147639740578567
Fgl2,2.19134941303698e-07,2.07732980979696,0.798,0.5,0.0031520369957124
Gbp2,3.10176554613933e-07,5.29447968416409,0.462,0.043,0.00446157956156681
H2-K1,3.80413738534055e-07,0.752654378997877,1,1,0.00547187121507385
Psmb8,6.34523895571602e-07,1.14074682470554,0.983,0.978,0.00912699171390193
Tap1,6.82588840589315e-07,1.4855836189028,0.849,0.609,0.0098183578830367
Tspo,9.56155724956494e-07,0.920381683824494,0.983,0.978,0.0137533439477742
Zbp1,1.33011873949792e-06,2.82105671180411,0.454,0.043,0.0191324279489381
Ly6a,1.95117910983992e-06,5.72988985859519,0.462,0.087,0.0280657603159374
Cxcl9,2.32157514805606e-06,6.39430868868432,0.445,0.065,0.0333935369296384
Stat1,5.79547428554476e-06,2.49444190492266,0.63,0.283,0.0833621021232758
Phf11b,6.81634979117591e-06,1.42797455312898,0.756,0.326,0.0980463753962743
Srxn1,1.09920471923301e-05,-2.18434363205994,0.235,0.543,0.158109606814476
St3gal1,1.15743538627808e-05,-1.0709946271287,0.748,0.913,0.166485505962239
Tjp2,1.21557529139526e-05,-1.80468857046925,0.269,0.587,0.174848349914294
Mpp7,1.29432073512161e-05,-1.31974852818213,0.697,0.913,0.186175094539893
Sp110,1.64639313452635e-05,1.36505511760772,0.605,0.217,0.236817188470271
H2-Q7,1.73370083954389e-05,0.933631230224885,0.958,0.804,0.249375528759994
Chst11,1.80172351505635e-05,-2.45381095378803,0.252,0.565,0.259159910405705
Itga5,2.01566466465589e-05,-1.05335487246338,0.664,0.848,0.289933205364104
Mrpl24,2.34324598807786e-05,-0.777531388290078,0.664,0.935,0.337052502925119
Stab1,2.47490888187731e-05,-1.36196911542301,0.269,0.652,0.355990893569232
Rac2,2.53609942253074e-05,0.786743596379134,0.941,0.826,0.364792540936822
Itgav,3.04275535032299e-05,-1.66702342376134,0.639,0.826,0.437669929590459
H2-Eb1,3.62709655614794e-05,0.6213255003412,1,1,0.52172156863632
mt-Nd4,3.68486181664481e-05,-0.42784044223565,1,1,0.530030523706189
Pld4,3.90776048320498e-05,0.742577948290767,0.941,0.87,0.562092267904204
Ifi47,4.00389300280488e-05,3.28647787754132,0.387,0.065,0.575919969523454
Mtmr11,4.10843168032839e-05,-2.83954088825567,0.017,0.196,0.590956812898436
Fam129b,4.11400226654312e-05,-1.4755999451241,0.361,0.63,0.591758086019562
H2-Ab1,4.31261562715478e-05,0.674139498723013,0.992,1,0.620326631809944
Clec4d,4.79396451522483e-05,-2.07202256539261,0.269,0.543,0.689563855869939
Calhm6,4.95435460574242e-05,3.11792929984511,0.387,0.065,0.712634366489989
Eif4e,5.50724749345447e-05,-1.14696201559202,0.739,0.848,0.79216247945849
Lmna,5.69531142169938e-05,-0.675100251261627,0.916,1,0.819213594897239
Lyz2,5.70377604987468e-05,-1.14220258122322,0.95,1,0.820431147013974
Gbp8,5.86717462632663e-05,4.00872120816415,0.286,0,0.843934398250823
Lyz1,5.9522520778911e-05,4.24705568152704,0.462,0.13,0.856171938883856
Maff,6.41972466224855e-05,-0.917879909553672,0.63,0.826,0.923413195417831
Ifi27l2a,6.44963961484558e-05,0.898856425608194,0.975,0.913,0.927716162199389
Psme1,6.48248342835757e-05,1.04401941655071,0.924,0.935,0.932440416334953
Scimp,6.92439188411647e-05,1.81670853085788,0.546,0.174,0.996004528611314
Gm12185,7.72470431404401e-05,2.53849810625159,0.353,0.043,1
Cd74,8.36139584909395e-05,0.544816517979736,1,1,1
Txnrd1,8.75693865476636e-05,-1.04181706745267,0.782,0.87,1
Bcar3,0.000118021755473052,-2.15506324286284,0.118,0.37,1
Pla2g4a,0.000120396900615937,1.53832347931484,0.546,0.217,1
Emp3,0.000121562467665306,-0.503205885047748,0.983,1,1
Irf1,0.00012380917405279,1.53732722509361,0.639,0.348,1
Errfi1,0.000124870745786883,-0.879062818308647,0.571,0.804,1
Megf8,0.000126910238947627,-3.29678989345546,0.008,0.152,1
Metrnl,0.000128653173116732,0.619359923999538,0.849,0.739,1
