,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Fam20a,1.67959066186794e-20,-3.80255893153804,0.021,0.231,2.41592320803084e-16
H2-Q7,2.43393328572256e-16,1.58513412903025,0.911,0.569,3.50096963818333e-12
Cxcl9,1.4759650683037e-15,2.11050846053872,0.747,0.2,2.12302815424804e-11
Aif1,6.85794560711371e-15,1.16264711626733,0.967,0.831,9.86446896127237e-11
Pfn1,1.1232142944486e-13,0.789962462386438,0.989,0.969,1.61563144113487e-09
Ace,2.25892728064419e-13,-2.83742902398229,0.056,0.292,3.2492410004786e-09
Tuba1b,4.71055375307911e-13,1.61402925258374,0.844,0.462,6.775660518429e-09
Atp6v0c,1.12657878823689e-12,0.816797049457128,0.984,0.923,1.62047092899994e-08
Slc25a27,1.26753321674469e-12,-5.26473191496955,0.005,0.092,1.82321977896556e-08
Ifitm6,3.00490716233516e-12,-2.18477055519917,0.27,0.6,4.32225846230289e-08
Psmb9,3.06604890339676e-12,1.09132756885764,0.94,0.754,4.41020474264591e-08
Irf1,3.59025119532976e-12,2.05005836745396,0.722,0.262,5.16421731936232e-08
Tap1,3.89020364082615e-12,1.39477714757344,0.871,0.492,5.59566891696433e-08
Ctsz,9.80774592074516e-12,0.780072617622539,0.99,0.985,1.41074617323998e-07
Pla2g16,1.51934341485627e-11,1.94999801265919,0.714,0.308,2.18542356792926e-07
Lyz2,1.64603253023084e-11,-1.2780598245097,0.984,1,2.36765319148404e-07
Atp5g3,2.26372133782731e-11,1.19862744658218,0.89,0.6,3.2561367723308e-07
Ptms,2.57057999254114e-11,1.22445484557628,0.893,0.646,3.69752226127117e-07
Nedd9,2.59739585187256e-11,-1.84449041983664,0.436,0.738,3.73609419333349e-07
Gbp2,3.66271225467699e-11,1.70380814211259,0.808,0.415,5.26844530712738e-07
H2-K1,4.60853746554663e-11,0.577283733109543,0.996,1,6.62892029044227e-07
Cox8a,5.43885807775625e-11,0.72986204379104,0.977,0.954,7.82325345904459e-07
Atp5b,9.82545087532544e-11,0.878366451270954,0.952,0.831,1.41329285390681e-06
Camkk2,1.17441281951415e-10,-2.1299172409259,0.236,0.538,1.68927539958915e-06
H2-Ab1,1.77488418407429e-10,0.926998697181873,0.987,0.862,2.55299341037246e-06
Ly6a,1.79393489588721e-10,2.10833270795138,0.708,0.338,2.58039595424416e-06
Gapdh,3.6881929925723e-10,0.886292529178487,0.975,0.908,5.305096800516e-06
Serpina3g,4.60217220947051e-10,2.0352583844221,0.539,0.092,6.61976450610238e-06
Cfp,4.9749537204425e-10,1.6271691404612,0.714,0.323,7.15597343148449e-06
B2m,6.33178454306297e-10,0.381458199236269,0.995,1,9.10763888674177e-06
Cd244a,8.95213574367181e-10,-2.47548938241939,0.121,0.369,1.28767520536975e-05
Slamf8,9.80017753319653e-10,1.27221625456193,0.808,0.462,1.40965753637499e-05
S1pr5,1.05584314292047e-09,-4.18904286302684,0.007,0.092,1.5187247767768e-05
Mif,1.10814591635692e-09,1.65371570981393,0.803,0.538,1.59395708608779e-05
Fgl2,1.29363527972236e-09,1.12703542618602,0.882,0.569,1.86076498635264e-05
Nampt,1.448861126219e-09,1.36013130484978,0.858,0.615,2.08404184395341e-05
H2-Q6,1.47902243306897e-09,0.785620211607128,0.696,0.246,2.1274258677264e-05
H2-Eb1,1.87894275425634e-09,0.891757013708953,0.977,0.769,2.70267125772233e-05
Ppia,2.10317209072855e-09,0.560332390225967,0.984,0.969,3.02520273530395e-05
Xylt1,2.1282276529034e-09,-1.59083467427159,0.536,0.8,3.06124265593624e-05
Gsr,2.35044866852388e-09,-1.66409041143362,0.347,0.631,3.38088536480475e-05
Ccr5,3.50905451733605e-09,1.12624282704932,0.814,0.462,5.04742401773617e-05
Grk5,3.65988221149392e-09,-2.04805666410335,0.301,0.569,5.26437457301285e-05
Ceacam1,3.77051250007471e-09,-2.51327164838722,0.099,0.323,5.42350518010747e-05
Vasp,4.60324731656349e-09,1.16130032323039,0.823,0.492,6.62131094014492e-05
Stat1,5.27618421777652e-09,1.03289122655497,0.893,0.662,7.58926337884975e-05
Ndufb8,5.31417494931173e-09,0.92630857719889,0.89,0.662,7.64390924708999e-05
Cd74,5.67612827170152e-09,0.810177724443443,0.993,0.954,8.16454290601546e-05
Cyp39a1,6.26475873409707e-09,-3.54279894363438,0.008,0.092,9.01122896312522e-05
Iigp1,6.2677123078091e-09,2.85694975452053,0.497,0.092,9.01547738355261e-05
H2-DMb1,6.35813478483077e-09,0.815731840641758,0.939,0.646,9.14554107450058e-05
Blvrb,6.44860563339223e-09,1.19430573591168,0.809,0.508,9.27567434307138e-05
Apof,7.10457773689882e-09,-5.87778121595197,0,0.031,0.000102192246167553
C1qtnf9,7.10457773689882e-09,-5.53187532911716,0,0.031,0.000102192246167553
Celf6,7.10457773689882e-09,-5.89684990174047,0,0.031,0.000102192246167553
Ttc9,7.10457773689882e-09,-5.69678231092419,0,0.031,0.000102192246167553
Tubb5,8.23667686055008e-09,1.37500724568221,0.754,0.415,0.000118476359962152
Ms4a4a,8.39345802373602e-09,-1.79187931045154,0.074,0.277,0.000120731500213419
Lsp1,8.41174019774525e-09,-1.14902460565854,0.638,0.862,0.000120994471004368
